Review_ID,Restaurant_ID,ID,review_title,user_importance,user_name,user_rating,user_review
96-1,96,1,Very Good,"7 Reviews , 1 Follower",V Mani Kanta,4,biryani super tasty
96-2,96,2,Very Good,"7 Reviews , 3 Followers",Amarnath,4,"Perfect for family dinners. They have got wide varieties of main courses. PDR available for parties,gatherings,meetings. Staters here are very tasty. . ."
96-3,96,3,Poor,1 Review,Pratiush G,1,mutton is not good
96-4,96,4,Legendary,"90 Reviews , 721 Followers",Chanda,5,"We ordered makni seek kabab, spicy level is too high, taste was good and with dip it was impressive , try with dip always , biryani also tasted which is good in taste"
96-5,96,5,Legendary,"3 Reviews , 1 Follower",Vishwanth Reddy,5,Good
96-6,96,6,Legendary,0 Reviews,Katta Nagaraju,5,Good
96-7,96,7,Very Good,1 Review,Geetha,4,good
96-8,96,8,Legendary,1 Review,Srithanreddy Pati,5,good hood tasty....
96-9,96,9,Legendary,2 Reviews,Mallesham Gajula,5,good
96-10,96,10,Very Good,1 Review,Srikanth Goud Varkala,4,tnx
96-11,96,11,Very Good,1 Review,Banda Pa,4,nice biryani
96-12,96,12,Poor,"1 Review , 1 Follower",Ramisetty Lakshmi Durga,1,"As the food quality was v bad, now we are suffering with mossons because of that food"
96-13,96,13,Very Good,"3 Reviews , 2 Followers",Anvesh Chembeti,4,good
96-14,96,14,Poor,1 Review,Gopi Krishna,1,there is no masala it's the worst veg biryani I have ever had
96-15,96,15,Poor,2 Reviews,Ananth,1,"paneer not cooked properly, ordered butter rotis but got butter naan"
96-16,96,16,Poor,"1 Review , 4 Followers",Prashanth Arra,1,bad
96-17,96,17,Legendary,"2 Reviews , 1 Follower",Rajitha Sanku,5,very very good
96-18,96,18,Legendary,"1 Review , 6 Followers",Naveen Yadav Ravula,5,Good
96-19,96,19,Legendary,"5 Reviews , 1 Follower",Mani,5,good food awesom
96-20,96,20,Average,"2 Reviews , 1 Follower",Sai Nath,3,noodles were trashed to small pieces...i had to use spoon. over all good.
96-21,96,21,Poor,"4 Reviews , 1 Follower",Anil Reddy,1,we didn't recieve the order
96-22,96,22,Poor,"1 Review , 9 Followers",Vijai Raj,1,THIS IS NOT AT ALL FAIR.TANGIDI KABAB COST WAS 160 AND WE RECEIVED JUST 2 LEG PIECES AND THAT TOO TOTALLY DECAYED.I THOUGHT IT WOULD BE A GREAT HAPPINESS AS YOU SAID BUT NOT.IF RATING WOULD BE SHOWN IN 0 STARS I WILL DEFINITELY GIVE 0.THANK U ZOMATO.THIS IS THE FIRST AND LAST ORDER IN ABINAND GRAND AND ALSO FROM ZOMATO.GUD BYE.
96-23,96,23,Poor,"1 Review , 1 Follower",Ravi,2,"Taste was not good, didn't expected this from Abinand grand. Very disappointing"
96-24,96,24,Legendary,"5 Reviews , 1 Follower",Mani,5,Abhinadh is most trust worthy every time in taste the food which i have received is too nice. quantity n quality both are the best and also i got dabar ka metha as complimentary thank you abhinand grand love you
96-25,96,25,Legendary,"1 Review , 5 Followers",Moguluri Nagaraju Mnr,5,gd
96-26,96,26,Poor,1 Review,Venky,1,not a fresh chicken
96-27,96,27,Legendary,"2 Reviews , 1 Follower",Anji Goud,5,good delivery
96-28,96,28,Legendary,"2 Reviews , 5 Followers",Praveen Kumar,5,Super
96-29,96,29,Legendary,2 Reviews,Ragha Sudha,5,ggood
96-30,96,30,Poor,3 Reviews,Vineeth Nama,1,"Very poor quality food , tasted like garbage , you guys are very poor at reading and following the instruction , your food sucks you made our dinner a nightmare , chicken pieces are hard as hell, asked for extra gravy in capslocks and you fools sent two raitas and no gravy , disgusting food ever had , would never ever order from you again"
96-31,96,31,Legendary,"3 Reviews , 1 Follower",Somlanaik445,5,very nice food
96-32,96,32,Very Good,"1 Review , 2 Followers",Guntaka Venkata Narasimha Reddy,4,Good
96-33,96,33,Legendary,"3 Reviews , 1 Follower",Vijaya Bhaskar,5,excellent
96-34,96,34,Legendary,"6 Reviews , 2 Followers",Jessie Krish,5,fast delivery and good taste
96-35,96,35,Average,"2 Reviews , 1 Follower",Venkatarao Yadav Telukutla,3,good
96-36,96,36,Poor,"3 Reviews , 2 Followers",Vyshu Chowdary,1,the ice-cream was melted
96-37,96,37,Legendary,1 Review,Sandhya,5,good
96-38,96,38,Legendary,"2 Reviews , 2 Followers",Ravi Appikonda,5,Today lunch time I orderd delivery is on time and food was awsome tnq u Abinand grand hotel
96-39,96,39,Very Good,"3 Reviews , 1 Follower",Chotu Sai,4,to late am not satisfed this order
96-40,96,40,Very Good,"1 Review , 5 Followers",Eshwar Reddy,4,Just we had lunch here small party food was awsome and exllent sevice staff are vey helpful in this restaurant everday one chef special serving
96-41,96,41,Poor,"26 Reviews , 2930 Followers",Brijesh Kumar Singh,2,"went their fo a business meet. Food is okay, but the taste doesn't match with the names of starters. We booked a private cabin for 20, AC was not working. Television was not working. They've not provided forks and spoon, sauce with starter...."
