Review_ID,Restaurant_ID,ID,review_title,user_importance,user_name,user_rating,user_review
85-1,85,1,Legendary,2 Reviews,Vishnu Priya,5,i ordered chilli chicken..it tasts really awesome..loved c5 food court😋😋..now on wards i will order everything in c5 food court only.quantity was aslo ok
85-2,85,2,Poor,1 Review,Aditya Vallemoni,1,I have ordered veg.manchurian. it is not at all good. Moreover it isn't severed hot. Delivery is quick. But food is very bad totally disappointed .
85-3,85,3,Poor,1 Review,Deepthi Cheruvu,1,"Quality definetely need to be improved.Havent eaten such bad food in the recent time. I swear,i directly dumped the whole packet after one spoon"
85-4,85,4,Average,"2 Reviews , 1 Follower",Daithala Maneesh,3,"Reasonably good one, for that price range I hope they serve better in future , they also made a neat packing , i will give 3 points out of five"
85-5,85,5,Average,"2 Reviews , 1 Follower",Sunny,3,"Never ever order online just try going there instead, the prices for online ordering is double of the actual price beware of it you could checkout the menu card in the description given about the place by zomato."
85-6,85,6,Excellent,"4 Reviews , 10 Followers",Sai Kamal,4,"Incase your pockets feel light, this is the best budget-friendly restaurant out there. Humble prices, tasty food and better quality. The quantity is sufficient. Decent restaurant."
85-7,85,7,Poor,"2 Reviews , 1 Follower",Naveen Naveen,1,pizza is not nice but chicken 65 is nice want another pizza bcoz it is very hard to eat and i was sad
85-8,85,8,Very Good,"31 Reviews , 52 Followers",Neha Maurya,4,"Place was nice neat and clean , employees were so fast to serve Taste was awesome in veg manchurian fried rice. Rice quality was very nice and salt chilli everything balanced.😇"
85-9,85,9,Legendary,"2 Reviews , 18 Followers",Vny Jordan,5,on time..!
85-10,85,10,Legendary,2 Reviews,Vinod Vinny,5,nice tasty
85-11,85,11,Very Good,1 Review,Kvsreddy Kvsreddy,4,Good food and good service . I loved it alot.i have ordered two times from it and I got tasty food.prices also very affordable.you also try it
85-12,85,12,Legendary,"1 Review , 3 Followers",Anudeep,5,It is quite a nice place to dine out and the price is absolutely reasonable and the price afforded for the quantity is great. The place is even calm and tidy
85-13,85,13,Legendary,"1 Review , 76 Followers",Sai Likhith Gandham,5,Here food is soooooooooooooooo delicious of my choice so here I can also get to have birthdays and other many in it .Here the staff is also sooo friendly
85-14,85,14,Very Good,"1 Review , 48 Followers",Shyam Gupta,4,Very Nice place. Very clean and calm place. And while coming to the food it was very very very reasonable price to the taste. I mean it was affordable price. Simply superb
85-15,85,15,Legendary,"5 Reviews , 20 Followers",Swetha Vsp,5,"I have been there a couple of times. It’s a quick eatery with all bakery items. I liked there burgers and pizzas the most. Biscuits and cake are freshly baked. They do in-house baking hence items are fresh. The chart was also spicy and good, specially the masala pav bajis."
