Review_ID,Restaurant_ID,ID,review_title,user_importance,user_name,user_rating,user_review
98-1,98,1,Average,"118 Reviews , 664 Followers",Eshita,3,"Found this place accidentally , while we're roaming around hungry, pretty decent place wise . They offered me to try the Odiya thali and I agreed. The food was freshly prepared , and tastewise up to the mark. We ordered chilli chicken , which was way too spicy for my threshold. The host was humble and he promised to serve a Bengali thali pretty soon. So looking forward to that. Overall , a neat experience. Give it a shot guys"
98-2,98,2,Poor,"16 Reviews , 2 Followers",Shuvaranjan Dash,1,"Not sure why this restaurant always pushes me wrong items. If u do not have the dish why u force the customer to take another, just not take the order. It's a utter shame."
98-3,98,3,Legendary,"8 Reviews , 2 Followers",Sunil Kumar Padhy,5,nice food i realy like after long time i have my home food.i realt enjoy the food and the delivery boy also good and i feep like to home thnc
98-4,98,4,Poor,1 Review,Satarupa Sarkar,2,"Mutton kosha was horrible ,too spicy .they have used lots of chilli powder,moreover added chopped spicy green chillies.it seems that I was eating a bowl of red chilly paste . .there is nothing special about fish kobiraji . overall experience is bad ..I was expecting something good food ."
98-5,98,5,Poor,"2 Reviews , 5 Followers",Chinmayi Mahapatra,2,Ordered food for the first time from this outlet. Packing is pathetic. Food quality also not good. Found a small bolt while eating. Photo attached. Basic hygiene is not maintained in the food prepared.
98-6,98,6,Very Good,"187 Reviews , 1437 Followers",Karthik Kodumuru,4,"------- Small Place, Great Food, Low Price -------- I found this gem when I was searching for dinner place at around 12 PM. Ambience looks cool surrounded by plants with dim lights. You feel pleasant for the atmosphere created inside. I was so hungry and didn't go through the menu much, had Jeera Rice with Dal Tadka, I can say one of the best. Quantity is quite sufficient for a person. It tasted so good, it matched my taste buds. Loved the taste. Pretty satsified with the pricing. Looking forward to try more. If you are around Ayyappa Society and you are looking for a pocket friendly meal, head over to this place. Thumbs Up."
98-7,98,7,Legendary,"1 Review , 3 Followers",Lieu Gogoi,5,"I had Chicken Tarkari, It taste like home made with having little green chilly, taste of spices , Simply wow taste. I was not expecting that wow kind of taste but it was simple and classic. Going to try some more dishes soon."
98-8,98,8,Poor,1 Review,Satya V,1,Very less quantity.... waste of money.... Never going to visit this hotel again. Not worth for money.. taste wise not so great as well.very poor service.
98-9,98,9,Very Good,"9 Reviews , 5 Followers",Som Subhra Ganguly,4,Good
98-10,98,10,Legendary,"9 Reviews , 6 Followers",Sunny Saviour,5,nice food i was attracted to the village theme good food at a reasonable price and they serve the food on time and natukodi pulao is the best here i liked it alot
98-11,98,11,Legendary,"18 Reviews , 2 Followers",S Dixit,5,"Best oriya veg thali I've had in Madhapur - home quality, not too much oil and chillies and freshly cooked. Mushroom Rice Bowl is very pocket-friendly and delicious - good to have on days when I don't want to eat much The ambience is simple and pleasing and service is good. Can't ask for more."
98-12,98,12,Legendary,"22 Reviews , 29 Followers",Sushanth M.G.Reddy,5,"A small cute little space. Min fuss with the menu ,homely taste good quality. What else do you need from a neighborhood place😊. Highly recommended"
98-13,98,13,Legendary,"1 Review , 6 Followers",Harekrishna Sethi,5,Delicious food with great taste which actually reset ur taste bud .the food flavour is actually meet the name of the restaurant (Desi flavour).
98-14,98,14,Poor,"1 Review , 14 Followers",Nihar Raut,2,Poor quality...
98-15,98,15,Average,"9 Reviews , 68 Followers",Manisha Singh,3,"mutton was not tender, and too salty pulao. quantity was fine. best thing, food was hot when arrived so kudos for that."
98-16,98,16,Poor,1 Review,Gireesh,1,Bad
98-17,98,17,Very Good,1 Review,Saudamini Panda,4,Quality may improve
98-18,98,18,Legendary,"3 Reviews , 2 Followers",Santhosh Kakinada,5,good
98-19,98,19,Legendary,"2 Reviews , 3 Followers",Mahendra Mahi,5,good food
98-20,98,20,Legendary,"1 Review , 1 Follower",Sunny Pathak,5,Nice and tasty food.ambience is also good. Try bangali dishes specially biryani......support staff is very helpful.its good place to hang out with frnds and for small party
98-21,98,21,Legendary,0 Reviews,Icici Sajeed,5,verry good service and fast delivery
98-22,98,22,Legendary,"12 Reviews , 11 Followers",Krishna,5,super
98-23,98,23,Legendary,0 Reviews,Vemuri Radharani,5,Best biryani
98-24,98,24,Average,"4 Reviews , 1 Follower",Eee.anky.tesla,3,i had ordered sp veg thali but it looks like south indian thali.
