Review_ID,Restaurant_ID,ID,review_title,user_importance,user_name,user_rating,user_review
84-1,84,1,,3 Reviews,Mounika Bukke,5,good
84-2,84,2,,1 Review,Ram,4,fast delivery
84-3,84,3,,3 Reviews,Lingannabarpati,5,supar
84-4,84,4,,4 Reviews,Charan,2,good
84-5,84,5,,"1 Review , 19 Followers",Manish Mani,5,it is very nice ..it is easy to order with best offers
84-6,84,6,,"4 Reviews , 4 Followers",Kv Vicky,1,bad food
84-7,84,7,,"2 Reviews , 30 Followers",Mukesh Venkatesh,5,Just happy with everything
84-8,84,8,,"9 Reviews , 12 Followers",Kalyan Samuels,3,ok
84-9,84,9,,1 Review,Aravind,1,I ordered double chicken fried rice but didn't even see at least few chicken pieces bad
84-10,84,10,,4 Reviews,Madhavi,3,gud
84-11,84,11,Legendary,"4 Reviews , 4 Followers",Kv Vicky,5,good ok
84-12,84,12,Poor,"3 Reviews , 1 Follower",Raju,1,Plz don’t order from such restaurants chap quality food. I directly disposed in my dustbin.
84-13,84,13,Legendary,3 Reviews,Ganapathi,5,good
84-14,84,14,Poor,"2 Reviews , 1 Follower",Madhuri Reddy,1,the quantity of food is really very less compared to outside really very disappointed
84-15,84,15,Average,5 Reviews,Deekshith Chintam,3,please provide spoons along with food
84-16,84,16,Poor,1 Review,Nani Chowdhary,1,waste food
84-17,84,17,Very Good,"1 Review , 1 Follower",Ashwanth Lucky,4,very nice and delicious food
84-18,84,18,Poor,"2 Reviews , 1 Follower",Abhi Lucky,1,very poor less quantity
84-19,84,19,Poor,"1 Review , 1 Follower",Sai Krishna,1,I have received an wrong order . . . .too bad.
84-20,84,20,Legendary,"1 Review , 3 Followers",Madhuri Reddy,5,taste was nice..
84-21,84,21,Very Good,2 Reviews,Bongoni Rukkamma,4,dry was nice
84-22,84,22,Poor,"2 Reviews , 5 Followers",Romeo Subhodip,1,their food taste is very bad
84-23,84,23,Legendary,2 Reviews,Ramasita,5,nice
84-24,84,24,Very Good,1 Review,Bala Mandadi,4,good
84-25,84,25,Legendary,3 Reviews,Adarsh Mamidi,5,It was too good but quantity disappoints
84-26,84,26,Poor,"2 Reviews , 6 Followers",Srinu Kuncham,2,food not testy
84-27,84,27,Average,5 Reviews,Deekshith Chintam,3,it is not spicy
84-28,84,28,Legendary,1 Review,Bumrah Bumrah,5,the delivery was fast
84-29,84,29,Legendary,"4 Reviews , 1 Follower",P Shiva Goud,5,good
84-30,84,30,Poor,4 Reviews,Madhavi,2,not gud
84-31,84,31,Very Good,"2 Reviews , 2 Followers",Shiva Bura,4,good
84-32,84,32,Poor,"3 Reviews , 1 Follower",Jaleel Swap,1,bad not teaste
84-33,84,33,Poor,"2 Reviews , 15 Followers",BaLa Prashanth Reddy,1,what the hell is the way to cook the foods and I got wrong food I ordered chicken fried rice but I got egg fried I want my money back
84-34,84,34,Legendary,1 Review,Kumar Arun,5,good
84-35,84,35,Very Good,"4 Reviews , 1 Follower",Nagendra Sunkara,4,good
84-36,84,36,Very Good,"2 Reviews , 1 Follower",Kalyan,4,Superbbb....xellentt
84-37,84,37,Poor,"3 Reviews , 1 Follower",Jaleel Swap,1,very bad executive
84-38,84,38,Poor,"1 Review , 1 Follower",Ganes4372,1,its totaly dry
84-39,84,39,Legendary,"9 Reviews , 1 Follower",Suresh Babu Nalamasa,5,good
84-40,84,40,Poor,"4 Reviews , 1 Follower",Khadeer Khan,2,Not bad
84-41,84,41,Poor,"2 Reviews , 1 Follower",Shiva Tarak,1,worst taste
84-42,84,42,Legendary,2 Reviews,Mahesh Kumar,5,good food
84-43,84,43,Legendary,"1 Review , 1 Follower",Hima Bindu,5,very nice tasty
84-44,84,44,Very Good,"2 Reviews , 32 Followers",Satish Bisam,4,good
84-45,84,45,Very Good,2 Reviews,Malaypanda2012,4,it is good...
84-46,84,46,Very Good,4 Reviews,Shankar B,4,ok
84-47,84,47,Very Good,"1 Review , 1 Follower",Avinash Patel,4,.
84-48,84,48,Legendary,4 Reviews,ObilineniSrinivaschowdhary Srinu,5,good
84-49,84,49,Legendary,"4 Reviews , 1 Follower",Sra Vani,5,nice
84-50,84,50,Legendary,"1 Review , 1 Follower",Pavan Reddy,5,good
84-51,84,51,Poor,"1 Review , 9 Followers",Pannala Vinod Kumar,1,waste food doest had any taste
84-52,84,52,Poor,"1 Review , 2 Followers",Pallisetti Saikumar,1,didn't give spoons and sauce...and even quantity also less... disappointed
84-53,84,53,Legendary,"1 Review , 1 Follower",Sree Raj,5,good person
84-54,84,54,Very Good,"10 Reviews , 2 Followers",Laxman Kumar,4,nice taste
84-55,84,55,Average,"2 Reviews , 1 Follower",Srikanth,3,gud
