Review_ID,Restaurant_ID,ID,review_title,user_importance,user_name,user_rating,user_review
99-1,99,1,Poor,"179 Reviews , 1849 Followers",Namit Agarwal,1,"I was looking for a good place to order some breakfast and found this place.The menu was interesting so ordered a breakfast combo. The combo looked great as it had Samosa,Poha and Jalebi.Jalebi was good but there was hardly any taste in Samosa and it was over fried. Poha was also going good till I found a small stone in it. Not worth your money!!!Order from someplace else..."
99-2,99,2,Poor,"2 Reviews , 33 Followers",Sahil Shah,1,"नी भिया तुमसे नी हो पायेगा , indori poha and jalebi ese nai hote h , indori word hata do and just poha and jalebi word use kro , 2nd time try kiya h mene tb bhi nahi samajh paya ki ye indore k kis area ka poha and jalebi h ."
99-3,99,3,Poor,"4 Reviews , 1 Follower",Kiran Bandagar,1,Worst quality food....i had ordered shahi paneer with 3 tawa roti for dinner after going through the good reviews about indori zaika...but i cant give 1 rating also...both shahi paneer and tawa roti were stale and of worst quality...plz friends dont waste your money....
99-4,99,4,Poor,"1 Review , 1 Follower",Indu Koppar,1,"The food was terrible, salty and the rotis were very brown and looked like they were unfit to be served. Waste of money! The delivery was quick but the food was not even worth 50 bucks. I spent 240 rupees and regret it.."
99-5,99,5,Poor,"2 Reviews , 1 Follower",Vaibhav,1,"I went there with my wife. The kitchen was unhygienic and full of flies. Their most of the sales is online, so they don't care about cleanliness at all. Pics attached."
99-6,99,6,Legendary,"35 Reviews , 19 Followers",Aman Agarwal,5,"If you want a perfect Sunday breakfast, come to this place. Kachori Sabzi, Aloo Puri are just yum. Sev Tamatar ki Sabzi of this place is the best I have had so far"
99-7,99,7,Poor,"35 Reviews , 28 Followers",Donnie (Anupam),1,"Guys, I know you are carrying a brand called Indore. You are abusing the brand 'indore' by delivering awfully cooked food. Your ' Sev tamarar' is nothing but tomato puree served with Sev. Poha do you even know how much salt you should add. Sabudana khichdi is too bland, I think even a new cook can't spoil this dish. Rotis are too bad, bhai khana jala rahe ho ya bana rahe ho. Sabudana wada, I think you should go eat sabudana wada pav to understand how a sabudana vada tastes. I dislike Golis sabudana vada pav but even those taste better. Have you ever had samosas in Indore? Go try it, there is firework of spices when you eat that samosa. I mean hands down, nobody can spoil food like you folks."
99-8,99,8,Very Good,"7 Reviews , 19 Followers",Neetasha Sambit Kumar,4,Got the breakfast delivered....quick delivery...quite a good deal for the price...got 4 crispy jalebis with Poha .... however I think the quantity of Poha can be increased!! Loved the puri bhaji combo...again got 4 jalebis and 4 puri...will definitely order again
99-9,99,9,Poor,"2 Reviews , 2 Followers",Pushpendra Yadav,2,"Definitely not Indori Taste. Samosa is not Indori. Sabudana khichdi is half cooked and way far from real Indori Taste. Very much disappointed. Please don't say ""we are working on this and shall improve"". cause, I have seen your comments before and you didn't improve. :("
99-10,99,10,Poor,"3 Reviews , 14 Followers",Shruti Patel,2,Finally found poha and sabudana in Hyderabad...poha is very nice but sabudana wada and khichdi was too salty and they don’t provide any chutney or dahi with it...i guess indori zaika should start providing chutney or dahi with sabudana khichdi and sabudana wada
99-11,99,11,Poor,"2 Reviews , 20 Followers",Bhupendra Nayak,1,"Very bad experience, i order dal + 3 extra rotis but i have not received extra roti after that i called to restaurant and guy asking for order again What is this ?? after 45 min. no response.all over very bad experience. roti quality is not good ."
99-12,99,12,Very Good,"90 Reviews , 111 Followers",Ram Chandra,4,After trying poha from almost five places in hyd I feel this is the best place to have your breakfast if you are looking for poha and jelabi both are highly recommended and even tried their thali which was also surprisingly very tasty if I compare then this thali is much tastier and cheaper compared to Rajdhani's thali.
99-13,99,13,Poor,"2 Reviews , 18 Followers",Rahul Soni,1,I ordered curry and roti and they send just roti.. even after talking to restaurant person he said order same curry again we will deliver but he didn't deliver after one hour waiting he said my restaurant staff changed so they misplaced some order. this restaurant is worth spending money.
99-14,99,14,Very Good,"4 Reviews , 1 Follower",Roma Agrawal Sit,4,"curry was little sour, otherwise it was good"
99-15,99,15,Poor,"1 Review , 1 Follower",Saurabh Singh,1,worst food.............. ordered daal tadaka and roti............too much oil and roti were in worst condition Indori ka naam barbad kar diya
99-16,99,16,Average,"95 Reviews , 232 Followers",Prasant Sekar,3,Food is quite okayish but they use a lot of oil. Packing isn’t that great. Overall an average restaurant that just touches the average line.
99-17,99,17,Average,"17 Reviews , 10 Followers",Vandana Nagdev,3,"Ordered two different poha combos, one with samosa and jalebi. Other with sabudana khichdi and gulab jamun. Also ordered paneer and alu paratha. Unfortunately sabudana went out of stock which i was really eager to have. Poha and jalebi were best among the things ordered. Poha is a must try! Parathas were very disappointing, less stuffing more aata."
99-18,99,18,Poor,"1 Review , 1 Follower",Soumya Sukul,1,The food was stinking like it was old and has gone bad. Also there was so much oil in the food. Sabudana khichdi was floating in oil. Very bad experience
99-19,99,19,Poor,"3 Reviews , 2 Followers",Anshi,2,"Ordered the Jalebi and poha via swiggy, jalebis tasted like they were fried in oil used for frying pakodas or bhajiya.(Why would you do that to a jalebi? ) Poha was okay."
99-20,99,20,Legendary,"6 Reviews , 1 Follower",Masaleem1982,5,Good
99-21,99,21,Legendary,"9 Reviews , 58 Followers",Biswoprotim Bhattacharya,5,"What a restaurant and what cool service. Ordered thrice and my review is based on taste, packaging and service. Samosa, kachauri and chaats are lovely. Beautiful jalebis. Best part is the reach out to work around the customers needs. Food is nicely packed in paper bags. Good indoori food. Solution oriented staff. Cheers!"
99-22,99,22,Average,"4 Reviews , 5 Followers",Gagandeep1991,3,decent homely food.
99-23,99,23,Average,"0 Reviews , 17 Followers",Rishabh Jain,3,less quantity
99-24,99,24,Very Good,"1 Review , 1 Follower",Jaswant Bisht,4,the food was good
99-25,99,25,Poor,"2 Reviews , 18 Followers",Anand Sharma,2,tomato shev bhaji was pathetic..
99-26,99,26,Legendary,1 Review,Rakesh Kumer Rao,5,cdvjvkgx
99-27,99,27,Poor,"1 Review , 63 Followers",Nishit Joshi,1,Pathetic Jalebi & no salt in poha & samosa was tasteless
99-28,99,28,Very Good,"1 Review , 1 Follower",Jaswant Bisht,4,the dal had less salt and the paneer was more salty
99-29,99,29,Legendary,"2 Reviews , 4 Followers",Aakriti Jain,5,They serve perfect poha making our breakfast perfect. We usually don't get good poha in Hyderabad. It's steamed poha with groundnuts and mild spices along with onion and bhujia.
99-30,99,30,Poor,"7 Reviews , 29 Followers",Naman Gupta,1,wrong item sent
99-31,99,31,Average,"2 Reviews , 43 Followers",Kanishk Mishra,3,paneer was awesome bit chapatis were horrible..it was like rubber very hard to chew
99-32,99,32,Poor,"5 Reviews , 1 Follower",Khushboo,1,I ordered sabudana khichdi. It is full oily.
99-33,99,33,Poor,"2 Reviews , 1 Follower",Aishu Mashetty,1,taste wasnot good...and the sabudana was not soaked properly
99-34,99,34,Poor,"87 Reviews , 194 Followers",Shafia Shams,2,Ordered poori sabzi. Poori was a tad bit salty but the real disappointment was the sabzi. It had very few pieces of potato and the gravy was too liquid in consistency to be eaten with poori.
99-35,99,35,Poor,"2 Reviews , 60 Followers",Ravi Gandhi,1,horrible food
99-36,99,36,Legendary,"6 Reviews , 1 Follower",Faique Khan,5,I like indori dishes Because I am Indori
99-37,99,37,Poor,"2 Reviews , 1 Follower",Neeraj Lahoti,1,"Worst delivery. You will die with hunger but they won't provide food on time. I have been to this place, very dirty and no hygienic. Worst experience."
99-38,99,38,Very Good,2 Reviews,Piyush Khodre,4,Daal was good.
99-39,99,39,Legendary,"2 Reviews , 7 Followers",Avilash,5,"One place where you get consistent good quality Poha . Good work. Also tried their thali and paratha and the good is good . My choice for Poha among the restaurants nearby Gachibowli , Kondapur, Kothaguda"
99-40,99,40,Poor,"11 Reviews , 27 Followers",Kunal Mahajan,1,"I dont know why Zomato have online booking of these low rated restaurants, i request zomato management nod to have online booking of such low rated restaurants, first of all we didnot receive what we order, secondly what we get is so pathetic, we order aloo gobi but we get chola (Chick pea) that too was cooked long back it became sour and roties was so hard. Dal and paneer was out of taste , dear readers please dont order food from this restaurants actual rating for them is -100 stars, and to the restaurant management please close your restaurant or improve your food if you want please try food from bliss parantha house."
99-41,99,41,Very Good,"1 Review , 2 Followers",Akash Gavhane,4,Tasty food
99-42,99,42,Poor,1 Review,Anurag Bhatnagar,1,worst gulab jamun I have ever had. u are disrespecting the name of indore. I am also from indore. Gulab jamun was smelling too bad. suggest tomato to delist this hotel...
99-43,99,43,Legendary,"3 Reviews , 1 Follower",Saurabh Gupta,5,"Good food ,................,....................................... ................................................................ ............. .... ,......."
99-44,99,44,Very Good,"3 Reviews , 1 Follower",Saurabh Gupta,4,Food is good as priced
99-45,99,45,Poor,"1 Review , 1 Follower",Deep K. Shroti,2,"NO SALT in food. Salt is not that expensive now, you guys must be able to afford it."
99-46,99,46,Average,"3 Reviews , 1 Follower",Sankalp Srivastava,3,"It is mentioned on the menu, 'SEV Tamatar' is chef's speciality. I didn't felt like that. The gravy was not even close to Indori sev tamatar. Do check the recipie before cooking next time. Loved the gulab jamun!"
99-47,99,47,Average,"1 Review , 1 Follower",Sumit Badjatia,3,Not
99-48,99,48,Average,"3 Reviews , 4 Followers",Siddhesh Patil,3,Definitely need inprovement. Being an Indori I can not approve of the taste. Looking forward for some improvement.
99-49,99,49,Very Good,"1 Review , 6 Followers",Paridhi Patni,4,"Being hard and core indori, I placed the order the time i saw it on zomato. Its a small joint usally for takeaways.. i ordered poha, samosa and sabudana khichdi from here and it was very yummmm.. tastes same like Indore.. loved the taste and definitely gonna order back from here.."
99-50,99,50,Average,"2 Reviews , 2 Followers",Vikas Tiwari,3,Jeera rice was not cooked properly it was very hard and bit disappointed with Sweet Gulab jamun.
99-51,99,51,Very Good,"2 Reviews , 1 Follower",Puneet Jain,4,roti and sabhi quantity should be more
99-52,99,52,Poor,11 Reviews,Jagrati Khandelwal,2,"whenever I try paratha from here, find small stones in the paratha ."
99-53,99,53,Poor,"122 Reviews , 227 Followers",Praneetha Dundigalla,1,Ordered the north Indian veg Thali. The food lacked taste and I would say inedible. The so called dal was not dal but just water with little tomatoes. quality of rice was horrible. Roti's were not cooked well. The paneer rather tastes like a eraser. Food was quite cold too. Was hoping to have a proper North Indian Thali but this was too disappointing.
99-54,99,54,Average,11 Reviews,Jagrati Khandelwal,3,it's better if you provide curd or buttermilk in a disposable container.
99-55,99,55,Average,"42 Reviews , 246 Followers",Sujit,3,"A small take away joint with very limited seating options. Had a take away from this joint. The famed and a specialty of Indore sabudana khichadi and sev tamatar sabji... And Samosa-chatni..... Samosa and chatni were just good.. But sabudana khichadi lacked that Indoriness...I found it very ordinary... And my sister was fuming..... And Sev tamatar was really disappointing,I mean tamatar were very acidic,sev was smelling like it was bit stale and I don’t know which oil they use. I have seen good reviews about their Poha,I think will try it sometime."
99-56,99,56,Poor,"58 Reviews , 239 Followers",Mayank Lohiya,2,Rice was very bad.
99-57,99,57,Very Good,"22 Reviews , 26 Followers",Vaishali,4,"This place is listed in uber eats and I frequently order from here. The taste is authentic north indian for most of the dishes. Below is the individual ratings of dishes I have tried : Poha : 3/5 ( lacks exact indori taste and is full of oil) chaat : 3.5/5 ( taste is good but portion size is less) aaloo paratha/ onion paratha : 5/5 ( awesome taste and quality) jalebi : 2/5 (they sent me stale jalebi, which was cold and hard) masala puri : 4/5 (good taste.)"
99-58,99,58,Legendary,"4 Reviews , 3 Followers",Pragya Vaidya,5,"The place you will definitely get a first customer attention.. 😊 I almost bought everything from there shop.. 😅 Indori Poha:- 5/5 This is something I crave for and they definitely nail it. 😍 Jalebi:- 4.5/5 Thin , crisp and appropriately sweetened.. 🤤 Sabudna Khichadi:- 4/5 Perfectly cooked, simple and soft.😋 This place is now a bookmark in my Zomato. 😜 Best to order food from here as for dine in the space is less."
99-59,99,59,Poor,"1 Review , 1 Follower",Arpit Garg,1,Worst food I've tasted so far. I had to throw rest of the food after having one bite. Rest is up to you.
99-60,99,60,Average,"3 Reviews , 1 Follower",Bharti,2,Wrong order delivered. I ordered 2 poha but received only one and also the jalebi was cold. I order because of the taste from this restaurant but not getting proper order is not acceptable.
99-61,99,61,Average,2 Reviews,Akshay Porwal,3,"being indorii .. I wanted to visit this place. I ate sev tamator but the taste of indori is not there.. still you can visit there and taste samosa, poha, and snacks.. indori taste is missing.."
99-62,99,62,Legendary,"2 Reviews , 3 Followers",Manasi Parwana,5,"Being an Indoori and having food at this place is like being at home. Awesome food, and amazing Indoori experience. Must have poha at this place. You will love it."
99-63,99,63,Legendary,"3 Reviews , 3 Followers",Amandeep Singh,5,"Indori Zaika was one of the best food joints serving Indori food in Hyderabad. Being an Indori, this is a must try for everyone looking for best poha, jalebi or kachori. The rates are very reasonable. 5 stars to them!! Kudos"
99-64,99,64,Legendary,"3 Reviews , 3 Followers",Gaurav Kapoor,5,"Worth having a visit, a proper Indore taste. Do try poha jalebi and other delicacies. Keep up the good work, hope you could expand to more places in future"
99-65,99,65,Legendary,"1 Review , 105 Followers",Rahul Singh,5,The food is very good and the people working and managing the restaurant are very humble and kind !! Poha and Aloo Gobi are the best item for someone staying away from home
99-66,99,66,Legendary,"1 Review , 2 Followers",Naveen Datha,5,"Amazing taste,your food taste like one food. I tried poha, paratha and aloo gobhi.Shop is quick bytes type and few benches are available to sit. Super fast service and economical price."
