Review_ID,Restaurant_ID,ID,review_title,user_importance,user_name,user_rating,user_review
88-1,88,1,Legendary,"40 Reviews , 1226 Followers",Charushila Biswas,5,"Ordered: Cutty Murgh - 250/- Murgh Kubideh Tokhmeh - 220/- 👍 Cutty murgh had a juicy minced chicken patty sandwiches between two generously mayo-slathered olive bread slices. It also had some veggies but the chicken patty was so thick, flavored, and delicious that we could only taste the chicken! And that's good for all carnivores, isn't it?😁 👍👍👍 What I really loved tho was the Murgh Kubideh Tokhmeh! Try saying it fast five times in row 😄 jokes apart, minced chicken and cheese wrapped in perfectly cooked omelette with some extra cheese on top of the bread -- it just blew my mind🤤 it was so so good and hearty. The ambience is what attracted me and for a few hours I felt like I was in some other country. With so little they have brought a dark parking space to life! Kudos to brain behind the theme/decoration. Overall, I like the place and would recommend it if you crave for good sandwiches or just want to chill out with friends without having to pay a fortune on food. Rating: Quality - 4/5✔ Quantity - 4/5✔ Taste - 4/5✔ Ambience - 5/5✔ Service - 4.5/5✔ Cost - given the size of the sandwiches, I think it's not expensive."
88-2,88,2,Legendary,"14 Reviews , 1 Follower",MACHINA YASHWANTH SAI,5,It's a great concept of mobile food fan . Especially breads they do serve are awesome. Guys just try their breads and the hospitality is awesome too
88-3,88,3,Very Good,"3 Reviews , 12 Followers",Pranay Rajiv,4,"A must visit solely for its ambience. Despite the difficulty in locating this place, the food and mood provided by this outlet is totally worth it 💚"
88-4,88,4,Legendary,"11 Reviews , 236 Followers",Ryan DSilva,5,"Simple, fresh and delicious sandwiches. The staff are attentive and the owner Abdul is happy to offer a good suggestion. The Frank Sinatra music transport you to another place. Neatly tucked away in a lane with a quaint setting and can be easily missed. Definitely try the coffee."
88-5,88,5,Legendary,"122 Reviews , 781 Followers",Sidhant Dhirsamant,5,"This is a small place tucked away between high rise walls, a bit difficult to notice, but once you see it, you can never go back. Atleast, that's how it was for me and my friend. We missed our directions to some other place and reached here, and boy it was worth. Like the say, the best things happen when you aren't planning for it. The place is adorned in shades of Blue and white and a few other colours might pop up here and there. It instantly creates a vibe as soon as you enter the lane, disconnecting you from the rest of the city. And the music they play, just adds up to that mood. Coming to food and drinks, there's just sandwiches and marmalades on the menu. And if you're a vegetarian, there's probably just 3 options to choose from. Regardless, of whatever you choose, it's good nonetheless, and filling as well. We had ordered in a Penir Olivieh and Murgh Pukh. This place is good to have conversations and spend a nice time with absolutely anyone."
88-6,88,6,Very Good,"49 Reviews , 33 Followers",Ketaki Vaidya,4,"You walk into a beautiful space mainly decorated with the classy hue of white and blue.Every bite justifies the outstanding flavours of the Persian cuisine.If there is anything like grandma’s high quality cooking, Sofreh symbolizes that. The flat bread is ❤. Cutty murgh is the very first dish this cafe started with.We ordered that and it was one of the finest sandwiches I ever had.The blend of cheese and different spices with tender pieces of chicken wrapped in flat bread...what else could one ask for.Needless to say,a cappucino was mandatory with this one. The owner takes time to greet and talk to you.He gave us his recommendations based on our food preferences. Service:5/5 Food:4/5 Value for money:3.5/5 See you soon,Sofreh Persian Bistro 😁"
88-7,88,7,Very Good,"14 Reviews , 6 Followers",Vidya Bharti,4,Visit to have some awesome sandwiches🥪🥪 The attractive thing about this place is it’s simplicity...we ordered coffee which was good and two variety of sandwiches 1. Murgh Olivieh 2. Murgh Pukh Both of them were yummy and different than normal sandwiches...overall nice experience 🤘🏻
88-8,88,8,Average,"30 Reviews , 90 Followers",Raghuveer Kovuru,3,"Tucked up beside a shopping complex, its a place to grab a quick bite. Try out their sandwiches only. Menu is short and sweet. Ambience is below OK."
88-9,88,9,Poor,"4 Reviews , 29 Followers",Navyata Alekhya Nemali,1,Food doesn't serve the quality of how the is place potraied on online platforms. The sandwiches has stale patties and the bread was really dry as if it was old by 2 days. Check before ordering!!!
88-10,88,10,Legendary,"11 Reviews , 4 Followers",Nallamreddy Sairam,5,"Amazing sandwiches, the taste is something different from what you get generally at any other sandwich joint, and its amazing. Highly recommend this place!!!!"
88-11,88,11,Legendary,"14 Reviews , 4 Followers",Jyothi Puppala,5,"Best sandwiches in Hyderabad. Taste is so different, you can't compare it with anyone else. You must try AOTA. It is the Mother of all sandwiches. Amazing stuff guys. I will keep coming."
