Review_ID,Restaurant_ID,ID,review_title,user_importance,user_name,user_rating,user_review
86-1,86,1,Average,"11 Reviews , 5 Followers",Monalisha Chatterjee,3,#Chilli chicken Orderd from this restaurant for the first time The taste was good. But chicken was little hard. Couldbhave been cooked better.. quantity was also OK.
86-2,86,2,Poor,"1 Review , 6 Followers",Vinay Kumar Rajput,1,The worst biryani ever tasted Dear Foodies please don’t order biryani from this restaurant The rice is not cooked well and i think they are using cheap quality rice for cooking Coming to chicken they have given the leftover pieces like neck piece nd bones
86-3,86,3,Poor,"1 Review , 3 Followers",Dileef Varanasi,1,"this is really bad place we can say, we have ordered today one chicken biryani family pack , which is very bad and the chicken not at all boiled and also the curd raitha is stinking , really its horrible."
86-4,86,4,Poor,5 Reviews,Venu1402,1,Food is rackless n in very very bad condition
86-5,86,5,Poor,1 Review,Nabajyoti,1,Biriyanis have no spicy and given very small chicken piece and quantity olso very less. This restaurant not given any bill olso looking like a local made Very dissatisfied with biriyani Im recommending guys dont order anything from this restaurant
86-6,86,6,Poor,1 Review,Ramchander,1,"Very very bad biryani food no tasty, if eat health problem sure come worst food I never eat in this type of biryani in Hyderabad don't eat it's my request.."
86-7,86,7,Poor,1 Review,Maddy Rao,1,"Worst biryani ever!! Like it's not even biryani. It's some homemade crap. And they should replace the word biryani with crap. Cuz this is absolutely garbage. Ordered because I was getting a discount but little did I know, I'll be putting my stomach through a torture. Please never order from here. This place is a fraud. They won't even use basmati rice. It's just normal white rice with some shitty masala. Please never ever order from this bullshit place."
86-8,86,8,Legendary,1 Review,Anil Ujjain,5,Really amazing and tasty food with pocket friendly costing really tasty superb trust me it's the best biryani I had will order it soon again
86-9,86,9,Poor,1 Review,Subbu,1,Just now I ordered and received biryni 3 singl packs but worst preparation and pack style. I think this is the first review from myself so duds be careful before order
86-10,86,10,Poor,1 Review,Akshay Pradhan,1,The veg biriyai is worst. It was not looking like biriyani. Worst quality. Curd given is very smelly. Only more color in biriyani. They mixed white rice in that so it will looks like biriyani.
86-11,86,11,Poor,"1 Review , 1 Follower",Jashwanth Reddy MJ,1,Go and feed your family with those bones and peices .Very bad. I didnt liked it .not at all good No value for money and no taste... waste of money
86-12,86,12,Legendary,"1 Review , 36 Followers",Saairrohhith Boddula,5,Amazing biryani with best quality and taste pocket friendly I really love the taste and quality I regularly order chicken biryani it's really amazing tonight also I am going to order
