Review_ID,Restaurant_ID,ID,review_title,user_importance,user_name,user_rating,user_review
87-1,87,1,Poor,"27 Reviews , 6 Followers",Hemanth Rao Polimetla,1,Last night I ordered through swiggy.....my items are egg burji and gongura kodi pulao worst food I never had. In kodi pulao sand particles are there worst food waste of money. I never order again from this restaurant
87-2,87,2,Average,"1 Review , 63 Followers",Vijayakumar Muthu Shanmugam,3,I usually order non veg meal. This it was not good specifically mutton was not cooked properly and the fries are not good. Instead of multiple curry they can focus on quality.. But yeah I prefer there taste. Improve yourself thanks.
87-3,87,3,Poor,"46 Reviews , 117 Followers",Mahendernath Pulidindi,2,Not a suitable place on rainy day Expect a delay in service. Ordered mokajonna vepudu (kind of crispy corn) which is oily and not tasted good. Nilgiri biryani served Friday’s only is good
87-4,87,4,Legendary,1 Review,Madhusudhan Reddy,5,nice service
87-5,87,5,Poor,1 Review,SRK G,1,Waste of money....below average food... Rice was completely spoiled and smelled badly.... With sambar and pappu was tasteless...not at all good food. 😏
87-6,87,6,Very Good,"20 Reviews , 20 Followers",Shauryagaatha,4,"Oh my God. I saw this restaurant yesterday when I was searching for a place to eat something heavy. I couldn't make out if the place is just for takeaway because it looked very small. But when I entered inside, it was a beautiful restaurant . I had chicken fried biryani, and trust me, it tops in my list of biryani now."
87-7,87,7,Poor,"3 Reviews , 2 Followers",Satish Chandra Gunda,1,"I ordered egg noodles, but they delivered chicken noodles instead."
87-8,87,8,Legendary,"4 Reviews , 30 Followers",Rahul Nyamathabad,5,Food is exceptional
87-9,87,9,Poor,2 Reviews,Ashok,1,I hate it I don't like this food
87-10,87,10,Legendary,1 Review,Sai,5,super taste
87-11,87,11,Legendary,"7 Reviews , 11 Followers",Venu Guttula,5,GoodGood
87-12,87,12,Poor,2 Reviews,Gopika,1,I been there once...Keema biryani was very tasty..so ordered with zomoto...looks they have seperate bocket for online orders....very worst...it's looks like local rice...not basmati rice....totally disappointed...go directly...for good taste....don't order with zomoto..
87-13,87,13,Legendary,"0 Reviews , 8 Followers",Francis Raj,5,Nice
87-14,87,14,Very Good,"0 Reviews , 2 Followers",Bhargav Tnv,4,good service
87-15,87,15,Poor,"2 Reviews , 1 Follower",Chennakesava Reddy,1,quantity was very less. I think they has sent half instead of full curry. But I have ordered full for 140rs. Bcs i have order earlier from the same place but I got it in big pack Dabba. But this is very less
87-16,87,16,Poor,"0 Reviews , 11 Followers",Srikanth Donthineni,1,"It doesn't taste good.. it was like food that was cooked way too long, brought little heated up"
87-17,87,17,Poor,"4 Reviews , 5 Followers",Harshit Rawat,1,"Salan and Raita not delivered, incomplete order."
87-18,87,18,Very Good,"1 Review , 1 Follower",Prashanth,4,3.9
87-19,87,19,Poor,"3 Reviews , 16 Followers",Preetham Chakravarthy,1,pls send a spoon atleast
87-20,87,20,Legendary,"2 Reviews , 1 Follower",Harsha,5,nice mutton curry
87-21,87,21,Poor,1 Review,Chari,1,bad customer service
87-22,87,22,Very Good,"1 Review , 1 Follower",Vannela Anilkumar,4,it's good
87-23,87,23,Legendary,"4 Reviews , 1 Follower",Raj Kushal,5,superb
87-24,87,24,Poor,"1 Review , 46 Followers",Rahul Akella,1,plain and bland...not upto the hype... disappointed
87-25,87,25,Average,"3 Reviews , 1 Follower",Ram Naidu,3,biriyani was good but fast food was very bad and very high prise ...im expeting some extra grave
87-26,87,26,Poor,"1 Review , 6 Followers",Prashanth Bhai Prashu,1,I have not received my complimentary dessert
