Review_ID,Restaurant_ID,ID,review_title,user_importance,user_name,user_rating,user_review

83-1,83,1,Average,"1 Review , 1 Follower",Sandhya Sandy,3,It has taken around 1 hr time to deliver the order.. I was expecting shorter time. Tasty was very nice. According to my instructions food has prepared
83-2,83,2,Average,"20 Reviews , 498 Followers",@Vignesh #FoodMad,3,I TRIED SHAWARMA & SAMOSA HERE TASTE IS DECENT PRICE TO QUALITY IS REASONABLE TASTE :- 2.5 / 5 PRICE :- 3/5 AMBIENCE :- 2.5 /5 #SNACKHUB #SHAWARMA #BAKERY
83-3,83,3,Poor,"6 Reviews , 1 Follower",Gautam,2,Chicken tikka burger is their best!! But very unfortunately they always give ketchup which is out of expiry date. This I believe is a very serious issue and I brought it to the notice of both Zomato customer care and the Snack hub as well. I wish to be taken very seriously and see that it doesn't repeat and our faith restored in you. I also took the ketchup sachets to the Snack Hub and they admitted to the mistake of theirs
83-4,83,4,Very Good,"1 Review , 34 Followers",Kusuma Gudla,4,we ordered for corn samosa but got aloo samosa delivered
83-5,83,5,Legendary,"4 Reviews , 2 Followers",SHASHIDHAR MUDAVATH,5,nice
83-6,83,6,Average,1 Review,Prasad Bathula,3,please deliver in time
83-7,83,7,Legendary,3 Reviews,Gopu Suresh,5,good
83-8,83,8,Poor,"1 Review , 4 Followers",Lavanya Sangawar,1,Last 2 times the quality was good but this time very worst. The chips given with the burger was stale and no mayonnaise in burger. I don't know weather they are giving a burger to eat or a bun.
83-9,83,9,Poor,"5 Reviews , 14 Followers",Sagar Chowdary Challa,1,I have ordered puffs and samosa..very worst in taste..better try in local cafes..better try improving taste..very hard...not even tasty...no sauces..we were hungry...we spoiled our apetite..
83-10,83,10,Legendary,"7 Reviews , 3 Followers",Siyan Mahesh,5,cake is fresh
83-11,83,11,Good,"81 Reviews , 217 Followers",Prakriti Chakraborti,3,"On our cheat days the only thing we crave for is pastry. At least I do. So I go around places to try different pastries,so last weekend me and my friend went to have some chat near nallagandala fly over and after having some chat i wanted to have something sweet and I found out this place and gave it a try. Well the place was quite good. the price was also reasonable so, you can give it a try for sure."
83-12,83,12,Poor,"0 Reviews , 1 Follower",Anvesh V,1,one of theworst food don't ever order veg .the food served hot but taste was worst ..It was not up to the mark .I have ordered veg Manchuria veg pizza and burger
83-13,83,13,Legendary,0 Reviews,Samu,5,thanks. the food was great.
83-14,83,14,Poor,3 Reviews,Gopu Suresh,1,not delivered ..
83-15,83,15,Poor,"0 Reviews , 4 Followers",Naveen Kumar Guptha,1,super
83-16,83,16,Very Good,1 Review,Meghanath Jupalli,4,good
83-17,83,17,Poor,"3 Reviews , 1 Follower",Prakash Devulapally,1,worst food
83-18,83,18,Average,2 Reviews,Shamanth,3,"Pizza was not good, actually I can't call it as Pizza , need a new name for it"
83-19,83,19,Poor,"6 Reviews , 1 Follower",Likhith Kumar,1,not delivered
83-20,83,20,Poor,1 Review,Yamuna,2,Wrong items sent
83-21,83,21,Poor,1 Review,Srinu Netha,1,delivery boy is rude
83-22,83,22,Poor,"1 Review , 1 Follower",Raj Kumar,1,"not even heated,no sauce also,can't eat satisfactorily"
83-23,83,23,Poor,"1 Review , 6 Followers",Àkhil Unstoppàble,1,I told the name Atha you wrote Adha
83-24,83,24,Poor,1 Review,Priyanka Gude,1,everything was worst. We didn't had food.
83-25,83,25,Poor,5 Reviews,Raghu Veer,1,had food poisoning
83-26,83,26,Average,1 Review,Srikakulapuramadevi,3,The taste is sour
83-27,83,27,Poor,1 Review,Vijayabhaskar Gorijala,1,worst cake
83-28,83,28,Poor,"3 Reviews , 1 Follower",Prakash Devulapally,1,tasteless.not good
83-29,83,29,Poor,1 Review,Eswar,2,"drumsticks very bad taste, not cook completely"
83-30,83,30,Very Good,3 Reviews,Anjali,4,Good taste
83-31,83,31,Poor,"3 Reviews , 8 Followers",SriRam Bantumilli,2,very less quantity compared to the price.very less.
83-32,83,32,Legendary,3 Reviews,Sai Rohith,5,good
83-33,83,33,Average,"2 Reviews , 1 Follower",Ram Jemes,3,good
83-34,83,34,Average,6 Reviews,Ashrithreddyaluri99,3,Not bad
83-35,83,35,Average,1 Review,Lavanya K,3,ok
83-36,83,36,Poor,2 Reviews,Donga Oil,1,not good at quality verry bad Puffs
83-37,83,37,Poor,"1 Review , 1 Follower",Udaykiran Reddy Kanukuntla,2,packing was not good.it damaged the wholepizza.and the onions not cookedwell
83-38,83,38,Poor,"1 Review , 1 Follower",Borra Lohith,1,not good
83-39,83,39,Legendary,"1 Review , 1 Follower",Đíłëêp Śãï,5,delivery person is food is good
83-40,83,40,Average,"4 Reviews , 1 Follower",Kartheek Vemuluri,3,burger was not hot by the time it reached me. . . so I'm confused about taste. . . it felt just good
83-41,83,41,Legendary,1 Review,Ajay Rawat,5,Very tasty food
83-42,83,42,Legendary,3 Reviews,Santoshi,5,i loved the taste
83-43,83,43,Legendary,3 Reviews,Santoshi,5,sweet
83-44,83,44,Poor,"4 Reviews , 3 Followers",Xetri Sharad,2,puff is good but only boiled egg no masala
83-45,83,45,Legendary,"11 Reviews , 7 Followers",N Yapendar Reddy,5,good
83-46,83,46,Legendary,1 Review,Meghanath Jupalli,5,Good
83-47,83,47,Legendary,1 Review,Nithya,5,good at frst bite
83-48,83,48,Very Good,"1 Review , 1 Follower",SrEe Nu,4,Good
83-49,83,49,Poor,1 Review,Arunbabu,1,worst package
83-50,83,50,Very Good,"5 Reviews , 1 Follower",Abdulaleem Ahmed,4,all was good except the chicken 65
83-51,83,51,Poor,"1 Review , 1 Follower",Eshwar P,1,worst service
83-52,83,52,Legendary,2 Reviews,Chinna,5,taste is good
83-53,83,53,Legendary,"5 Reviews , 2 Followers",Neethu Ramachandran,5,good experience
83-54,83,54,Legendary,2 Reviews,Chinna,5,good
83-55,83,55,Legendary,"6 Reviews , 28 Followers",Niha Niharika,5,good
83-56,83,56,Legendary,1 Review,Sukumar,5,good and super tasty
83-57,83,57,Very Good,"3 Reviews , 4 Followers",Chandu Goud,4,Good
83-58,83,58,Legendary,"4 Reviews , 3 Followers",Xetri Sharad,5,food is testy
83-59,83,59,Legendary,1 Review,Mohan,5,super
83-60,83,60,Legendary,"2 Reviews , 5 Followers",Nalla Ramaprasad,5,super
83-61,83,61,Legendary,"2 Reviews , 1 Follower",Vishnu,5,😘😘😘😘😘super
83-62,83,62,Poor,"1 Review , 1 Follower",Borramanojkumar,2,shakes not expected. fealing bad
83-63,83,63,Poor,"2 Reviews , 1 Follower",Vishnu,1,slow
83-64,83,64,Legendary,"1 Review , 1 Follower",Nanu,5,super and good
83-65,83,65,Legendary,"2 Reviews , 1 Follower",Ramya,5,new and good
83-66,83,66,Legendary,"1 Review , 1 Follower",Nani,5,super
83-67,83,67,Poor,"4 Reviews , 3 Followers",Xetri Sharad,1,what the discoting somosa no chicken only maida first i have eat this tipe somosa
83-68,83,68,Legendary,"2 Reviews , 1 Follower",Ramya,5,yes taste is good
83-69,83,69,Legendary,"2 Reviews , 1 Follower",Ajazd,5,taste is good and quantity also very good
83-70,83,70,Legendary,"2 Reviews , 1 Follower",Raki,5,super tasty and good
83-71,83,71,Poor,"2 Reviews , 5 Followers",Neha Pathki,1,I ordered pistachu milk shake . It is worse in its taste. It is not a milk shake it is a water shake . Waste of money. Going forward i never order any item from this bakery . Waste bakery.
83-72,83,72,Legendary,2 Reviews,Suresh,5,super tasty
83-73,83,73,Legendary,"3 Reviews , 1 Follower",Goutham,5,nice
83-74,83,74,Legendary,2 Reviews,Suresh,5,taste is good
83-75,83,75,Legendary,"1 Review , 2 Followers",Naveen,5,good
83-76,83,76,Legendary,"2 Reviews , 1 Follower",Pinky,5,good
83-77,83,77,Legendary,"2 Reviews , 1 Follower",Pinky,5,super good
83-78,83,78,Legendary,"2 Reviews , 1 Follower",Pavan,5,good food
83-79,83,79,Legendary,"2 Reviews , 1 Follower",Satyaranganadh M,5,Tasty.. enjoyed food.. thanks
83-80,83,80,Poor,"4 Reviews , 3 Followers",Siddharth Singh Suryavanshi,2,Corns in corn sandwich was not fresh they were very hard.
83-81,83,81,Legendary,"2 Reviews , 1 Follower",Rekha C,5,great ! it is as expected
83-82,83,82,Legendary,"1 Review , 1 Follower",Kartheek Reddy,5,great service thanks
83-83,83,83,Legendary,"1 Review , 1 Follower",Latha Sree Rathod,5,gud
83-84,83,84,Legendary,"2 Reviews , 1 Follower",Rajashekar Bandi,5,excel
83-85,83,85,Poor,"1 Review , 1 Follower",Samuel Johnson,2,"I asked for a cream rolls, but instead, I get cream CONES - not what I ordered."
83-86,83,86,Very Good,"1 Review , 1 Follower",Mahesh,4,Barger taste is not that good
83-87,83,87,Very Good,"1 Review , 23 Followers",Sanjay Kumar Tyarla,4,good taste. but need gravy
83-88,83,88,Poor,"3 Reviews , 5 Followers",Shekar Reddy Singi Reddy,1,Not satisfied...too low quality..very disappointed.
83-89,83,89,Very Good,"2 Reviews , 1 Follower",Girida Saritha,4,yummy.......
83-90,83,90,Legendary,"1 Review , 2 Followers",Avinash Danthi,5,The snack was fresh and tasted good
83-91,83,91,Poor,"2 Reviews , 1 Follower",Ravi Krishna,2,the food taste is not good
83-92,83,92,Legendary,"7 Reviews , 14 Followers",Ambati Rajshekhar Reddy,5,good
83-93,83,93,Very Good,"3 Reviews , 5 Followers",Srinivasa Reddy Annem,4,super
83-94,83,94,Poor,"1 Review , 1 Follower",Hema,1,"The taste of the food is not good. Lot of tomato sauce has been put on Pizza, base of the bread is so thick and quality of cheese is 3rd grade. Chicken sandwich is soggy, never ordering from this place again"
83-95,83,95,Legendary,1 Review,Vijaya Bhaskar Gorijala,5,taste good
83-96,83,96,Poor,"4 Reviews , 1 Follower",Ammu Sheik,1,i am sucked with this restaurant always giving the wtong order
83-97,83,97,Average,3 Reviews,Shiva Kumar,3,just ok
83-98,83,98,Very Good,"1 Review , 76 Followers",Kaushik Chakka,4,Taste is good but packing is worse! Juice completely leaked out.
83-99,83,99,Average,"1 Review , 1 Follower",Naveena Reddy,3,food is not hot...
